Date,GS3,GS1,GS10,GS5,GS3M,GS6M
01/05/1990,8.68999958,8.319999695,8.760000229,8.739999771,8.010000229,8.18999958
01/06/1990,8.399999619,8.100000381,8.479999542,8.430000305,7.989999771,8.050000191
01/07/1990,8.260000229,7.940000057,8.470000267,8.329999924,7.869999886,7.920000076
01/08/1990,8.220000267,7.78000021,8.75,8.43999958,7.690000057,7.769999981
01/09/1990,8.270000458,7.760000229,8.890000343,8.510000229,7.599999905,7.699999809
01/10/1990,8.069999695,7.550000191,8.720000267,8.329999924,7.400000095,7.53000021
01/11/1990,7.739999771,7.309999943,8.390000343,8.020000458,7.289999962,7.389999866
01/12/1990,7.46999979,7.050000191,8.079999924,7.730000019,6.949999809,7.03000021
01/01/1991,7.380000114,6.639999866,8.090000153,7.699999809,6.409999847,6.579999924
01/02/1991,7.079999924,6.269999981,7.849999905,7.46999979,6.119999886,6.190000057
01/03/1991,7.349999905,6.400000095,8.109999657,7.769999981,6.090000153,6.199999809
01/04/1991,7.230000019,6.239999771,8.039999962,7.699999809,5.829999924,5.980000019
01/05/1991,7.119999886,6.130000114,8.069999695,7.699999809,5.630000114,5.869999886
01/06/1991,7.389999866,6.360000134,8.279999733,7.940000057,5.75,6.019999981
01/07/1991,7.380000114,6.309999943,8.270000458,7.909999847,5.75,5.96999979
01/08/1991,6.800000191,5.78000021,7.900000095,7.429999828,5.5,5.630000114
01/09/1991,6.5,5.570000172,7.650000095,7.139999866,5.369999886,5.480000019
01/10/1991,6.230000019,5.329999924,7.53000021,6.869999886,5.139999866,5.260000229
01/11/1991,5.900000095,4.889999866,7.420000076,6.619999886,4.690000057,4.800000191
01/12/1991,5.389999866,4.380000114,7.090000153,6.190000057,4.179999828,4.260000229
01/01/1992,5.400000095,4.150000095,7.03000021,6.239999771,3.910000086,4.010000229
01/02/1992,5.71999979,4.289999962,7.340000153,6.579999924,3.950000048,4.079999924
01/03/1992,6.179999828,4.630000114,7.539999962,6.949999809,4.139999866,4.329999924
01/04/1992,5.929999828,4.300000191,7.480000019,6.78000021,3.839999914,4
01/05/1992,5.809999943,4.190000057,7.389999866,6.690000057,3.720000029,3.880000114
01/06/1992,5.599999905,4.170000076,7.260000229,6.480000019,3.75,3.900000095
01/07/1992,4.909999847,3.599999905,6.840000153,5.840000153,3.279999971,3.380000114
01/08/1992,4.71999979,3.470000029,6.590000153,5.599999905,3.200000048,3.309999943
01/09/1992,4.420000076,3.180000067,6.420000076,5.380000114,2.970000029,3.039999962
01/10/1992,4.639999866,3.299999952,6.590000153,5.599999905,2.930000067,3.130000114
01/11/1992,5.139999866,3.680000067,6.869999886,6.039999962,3.210000038,3.440000057
01/12/1992,5.210000038,3.710000038,6.769999981,6.079999924,3.289999962,3.470000029
01/01/1993,4.929999828,3.5,6.599999905,5.829999924,3.069999933,3.24000001
01/02/1993,4.579999924,3.390000105,6.260000229,5.429999828,2.99000001,3.160000086
01/03/1993,4.400000095,3.329999924,5.980000019,5.190000057,3.00999999,3.150000095
01/04/1993,4.300000191,3.24000001,5.96999979,5.130000114,2.930000067,3.059999943
01/05/1993,4.400000095,3.359999895,6.039999962,5.199999809,3.029999971,3.170000076
01/06/1993,4.53000021,3.539999962,5.960000038,5.21999979,3.140000105,3.289999962
01/07/1993,4.429999828,3.470000029,5.809999943,5.090000153,3.109999895,3.25999999
01/08/1993,4.360000134,3.440000057,5.679999828,5.03000021,3.089999914,3.24000001
01/09/1993,4.170000076,3.359999895,5.360000134,4.730000019,3.00999999,3.150000095
01/10/1993,4.179999828,3.390000105,5.329999924,4.710000038,3.089999914,3.220000029
01/11/1993,4.5,3.579999924,5.71999979,5.059999943,3.180000067,3.359999895
01/12/1993,4.539999962,3.609999895,5.769999981,5.150000095,3.130000114,3.339999914
01/01/1994,4.480000019,3.539999962,5.75,5.090000153,3.039999962,3.25
01/02/1994,4.829999924,3.869999886,5.96999979,5.400000095,3.329999924,3.529999971
01/03/1994,5.400000095,4.320000172,6.480000019,5.940000057,3.589999914,3.920000076
01/04/1994,5.989999771,4.820000172,6.96999979,6.519999981,3.779999971,4.25
01/05/1994,6.340000153,5.309999943,7.179999828,6.78000021,4.269999981,4.789999962
01/06/1994,6.269999981,5.269999981,7.099999905,6.699999809,4.25,4.71999979
01/07/1994,6.480000019,5.480000019,7.300000191,6.909999847,4.460000038,4.949999809
01/08/1994,6.5,5.559999943,7.239999771,6.880000114,4.610000134,5.079999924
